"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Publisher","Book title","Proceedings title","Date published","ISBN","ISSN","URLs","DOI","PMID","Arxiv ID","PMC ID","Abstract","Keywords","Notes","Archive prefix","Eprint ID"
"Journal Article","Khemasuwan D,Sorensen JS,Colt HG","Artificial intelligence in pulmonary medicine: Computer vision, predictive model and covid-19","European Respiratory Review","2020","29","157","1-16","","Eur Respiratory Soc","","","2020","","1600-0617","http://dx.doi.org/10.1183/16000617.0181-2020;https://www.ncbi.nlm.nih.gov/pubmed/33004526","10.1183/16000617.0181-2020","33004526","","","Artificial intelligence (AI) is transforming healthcare delivery. The digital revolution in medicine and healthcare information is prompting a staggering growth of data intertwined with elements from many digital sources such as genomics, medical imaging and electronic health records. Such massive growth has sparked the development of an increasing number of AI-based applications that can be deployed in clinical practice. Pulmonary specialists who are familiar with the principles of AI and its applications will be empowered and prepared to seize future practice and research opportunities. The goal of this review is to provide pulmonary specialists and other readers with information pertinent to the use of AI in pulmonary medicine. First, we describe the concept of AI and some of the requisites of machine learning and deep learning. Next, we review some of the literature relevant to the use of computer vision in medical imaging, predictive modelling with machine learning, and the use of AI for battling the novel severe acute respiratory syndrome-coronavirus-2 pandemic. We close our review with a discussion of limitations and challenges pertaining to the further incorporation of AI into clinical pulmonary practice.","artificial intelligent,deep learning,machine learning,pulmonary specialist","Cited By (since 2020): 59","",""
"Miscellaneous","Abudawood GA,Ashi HM,Almarzouki NK","Computer Vision Syndrome among Undergraduate Medical Students in King Abdulaziz University, Jeddah, Saudi Arabia","","2020","2020","","","","hindawi.com","Journal of Ophthalmology","","2020","","2090-0058","https://www.hindawi.com/journals/joph/2020/2789376/;http://dx.doi.org/10.1155/2020/2789376","10.1155/2020/2789376","","","","Introduction. Computer vision syndrome (CVS) is ""a complex of eye and vision problems related to near work experienced during computer use."" It is one of the rising health concerns related to technology (cell phones and tablets) due to continuous use of computers among students. The aim of this study was to determine the prevalence of CVS, associated risk factors, and commonly associated symptoms and to assess the awareness and proper practice of using computers for studying. Methods. A cross-sectional descriptive study was conducted among 651 undergraduate medical students in King Abdulaziz University, Jeddah, Saudi Arabia. An electronic survey was conducted to collect the data. Data were analyzed using SPSS v21. The chi-square test (Fisher's exact test when required) was used to study the significance of associations. P value <0.05 was considered statistically significant. Results. High prevalence of CVS was observed, in which 95% (558) reported at least one symptom during studying using computers. Most frequently reported symptoms were excessive tearing and neck, shoulder, or back pain. Female students had a higher risk of CVS (P=0.003). Students who are myopic or hyperopic showed no association. Astigmatism was associated significantly with CVS (P=0.03). Using spectacles or contact lens showed no association. Students with dry eye disease revealed a significant association with CVS (P=0.01). The most significant risk factors related to the daily usage of computer were longer duration of studying (P<0.001), short distance from the screen (P<0.05), and high brightness of the screen (P<0.05). The most significant preventive measure taken to relieve the symptoms was applying the 20-20-20 rule. Conclusion. CVS is common among medical students; significant risk factors need to be addressed to reduce the symptom and to ensure a better productivity of work. It is a necessity to raise awareness among medical students regarding computer-related health problems.","computer vision syndrome,dry eye disease","Cited By (since 2020): 60","",""
"Journal Article","Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","A Computer Vision Approach to Combat Lyme Disease","arXiv preprint arXiv \ldots","2020","","","","","arxiv.org","","","2020","","","http://arxiv.org/abs/2009.11931","","","2009.11931","","Lyme disease is an infectious disease transmitted to humans by a bite from an infected Ixodes species (blacklegged ticks). It is one of the fastest growing vector-borne illness in North America and is expanding its geographic footprint. Lyme disease treatment is time-sensitive, and can be cured by administering an antibiotic (prophylaxis) to the patient within 72 hours after a tick bite by the Ixodes species. However, the laboratory-based identification of each tick that might carry the bacteria is time-consuming and labour intensive and cannot meet the maximum turn-around-time of 72 hours for an effective treatment. Early identification of blacklegged ticks using computer vision technologies is a potential solution in promptly identifying a tick and administering prophylaxis within a crucial window period. In this work, we build an automated detection tool that can differentiate blacklegged ticks from other ticks species using advanced deep learning and computer vision approaches. We demonstrate the classification of tick species using Convolution Neural Network (CNN) models, trained end-to-end from tick images directly. Advanced knowledge transfer techniques within teacher-student learning frameworks are adopted to improve the performance of classification of tick species. Our best CNN model achieves 92% accuracy on test set. The tool can be integrated with the geography of exposure to determine the risk of Lyme disease infection and need for prophylaxis treatment.","Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","Cited By (since 2020): 3","arXiv","2009.11931"
"Journal Article","Meske C,Bunde E","Transparency and trust in human-AI-interaction: The role of model-agnostic explanations in computer vision-based decision support","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","2020","12217 LNCS","","54-69","","Springer","","","2020","","1611-3349","http://dx.doi.org/10.1007/978-3-030-50334-5_4","10.1007/978-3-030-50334-5_4","","","","Computer Vision, and hence Artificial Intelligence-based extraction of information from images, has increasingly received attention over the last years, for instance in medical diagnostics. While the algorithms' complexity is a reason for their increased performance, it also leads to the ‘black box' problem, consequently decreasing trust towards AI. In this regard, “Explainable Artificial Intelligence” (XAI) allows to open that black box and to improve the degree of AI transparency. In this paper, we first discuss the theoretical impact of explainability on trust towards AI, followed by showcasing how the usage of XAI in a health-related setting can look like. More specifically, we show how XAI can be applied to understand why Computer Vision, based on deep learning, did or did not detect a disease (malaria) on image data (thin blood smear slide images). Furthermore, we investigate, how XAI can be used to compare the detection strategy of two different deep learning models often used for Computer Vision: Convolutional Neural Network and Multi-Layer Perceptron. Our empirical results show that i) the AI sometimes used questionable or irrelevant data features of an image to detect malaria (even if correctly predicted), and ii) that there may be significant discrepancies in how different deep learning models explain the same prediction. Our theoretical discussion highlights that XAI can support trust in Computer Vision systems, and AI systems in general, especially through an increased understandability and predictability.","Artificial Intelligence,Computer Vision,Deep learning,Explainability,Healthcare,Trust","Cited By (since 2020): 38","",""
"Miscellaneous","Fernandes AF,Dórea JR,Rosa GJ","Image Analysis and Computer Vision Applications in Animal Sciences: An Overview","","2020","7","","","","frontiersin.org","Frontiers in Veterinary Science","","2020","","2297-1769","https://www.frontiersin.org/articles/10.3389/fvets.2020.551269/full;http://dx.doi.org/10.3389/fvets.2020.551269","10.3389/fvets.2020.551269","","","","Computer Vision, Digital Image Processing, and Digital Image Analysis can be viewed as an amalgam of terms that very often are used to describe similar processes. Most of this confusion arises because these are interconnected fields that emerged with the development of digital image acquisition. Thus, there is a need to understand the connection between these fields, how a digital image is formed, and the differences regarding the many sensors available, each best suited for different applications. From the advent of the charge-coupled devices demarking the birth of digital imaging, the field has advanced quite fast. Sensors have evolved from grayscale to color with increasingly higher resolution and better performance. Also, many other sensors have appeared, such as infrared cameras, stereo imaging, time of flight sensors, satellite, and hyperspectral imaging. There are also images generated by other signals, such as sound (ultrasound scanners and sonars) and radiation (standard x-ray and computed tomography), which are widely used to produce medical images. In animal and veterinary sciences, these sensors have been used in many applications, mostly under experimental conditions and with just some applications yet developed on commercial farms. Such applications can range from the assessment of beef cuts composition to live animal identification, tracking, behavior monitoring, and measurement of phenotypes of interest, such as body weight, condition score, and gait. Computer vision systems (CVS) have the potential to be used in precision livestock farming and high-throughput phenotyping applications. We believe that the constant measurement of traits through CVS can reduce management costs and optimize decision-making in livestock operations, in addition to opening new possibilities in selective breeding. Applications of CSV are currently a growing research area and there are already commercial products available. However, there are still challenges that demand research for the successful development of autonomous solutions capable of delivering critical information. This review intends to present significant developments that have been made in CVS applications in animal and veterinary sciences and to highlight areas in which further research is still needed before full deployment of CVS in breeding programs and commercial farms.","automation,computer vision,high-throughput phenotyping,imaging,livestock,phenotyping,precision livestock,sensors","Cited By (since 2020): 53","",""
"Journal Article","Tombe R","Computer Vision for Smart Farming and Sustainable Agriculture","2020 IST-Africa Conference, IST-Africa 2020","2020","","","","","ieeexplore.ieee.org","","","2020","","","","","","","","Developments in satellite technology, remote sensors and drone technologies are mushrooming. These developments yield volumes of high quality scene images that require effective processing for intelligent farming applications. The recent deep learning technologies can leverage these opportunities to fuse computer vision and artificial intelligence in farming. This encompasses the big data phenomena and huge volumes of data that are captured, processed and applied for decision-making. This paper aims to give insights on the integration of computer vision for smart farming in-order to attain sustainable agriculture. Using a structured approach, this research proposes a computer vision technique for crop image feature characterization that applies in the determination of the crop's health status. To achieve this, a deep convolutional network is applied for image feature extraction and representation, and then these features are fed to the support vector-learning machine for training and subsequent image interpretation. From the experimental results, it is evident that the proposed technique generates superior visual interpretation results of scene images as compared to other methods in literature. It follows that the Global food security and agricultural sustainability can be attained through ICT enabled solutions that are integrates and works together a phenomenon referred to as smart farming.","big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","Cited By (since 2020): 19","",""
"Miscellaneous","An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening","","2020","136","Supplement 1","46-47","","Elsevier","Blood","","2020","","0006-4971","https://www.sciencedirect.com/science/article/pii/S0006497118694170;http://dx.doi.org/10.1182/blood-2020-142548","10.1182/blood-2020-142548","","","","Introduction: Anemia affects a third of the world's population with the heaviest burden borne by women and children. Anemia leads to preventable impaired development in children, as well as high morbidity and early mortality among sufferers. Inherited hemoglobin (Hb) disorders, such as sickle cell disease (SCD), are associated with chronic hemolytic anemia causing high morbidity and mortality. Anemia and SCD are inherently associated and are both prevalent in the same regions of the world including sub-Saharan Africa, India, and south-east Asia. Anemia and SCD-related complications can be mitigated by screening, early diagnosis followed by timely intervention. Anemia treatment depends on the accurate characterization of the cause, such as inherited Hb disorders. Meanwhile, Hb disorders or SCD treatments, such as hydroxyurea therapy, requires close monitoring of blood Hb level and the patient's anemia status over time. As a result, it is crucially important to perform integrated detection and monitoring of blood Hb level, anemia status, and Hb variants, especially in areas where anemia and inherited Hb disorders are the most prevalent. Blood Hb level (in g/dL) is used as the main indicator of anemia, while the presence of Hb variants (e.g., sickle Hb or HbS) in blood is the primary indicator of an inherited disorder. The current clinical standards for anemia testing and Hb variant identification are complete blood count (CBC) and High-Performance Liquid Chromatography (HPLC), respectively. State-of-the-art laboratory infrastructure and trained personnel are required for these laboratory tests. However, these resources are typically scarce in low- and middle-income countries, where anemia and Hb disorders are the most prevalent. As a result, there is a dire need for high accuracy portable point-of-care (POC) devices to perform integrated anemia and Hb variant tests with affordable cost and high throughput.Methods: In 2019, the World Health Organization (WHO) listed Hb electrophoresis as an essential in vitro diagnostic (IVD) technology for diagnosing SCD and sickle cell trait. We have leveraged the common Hb electrophoresis method and developed a POC microchip electrophoresis test, Hemoglobin Variant/Anemia (HbVA). This technology is being commercialized under the product name ""Gazelle"" by Hemex Health Inc. for Hb variant identification with integrated anemia detection (Fig. 1A&B). We hypothesized that computer vision and deep learning will enhance the accuracy and reproducibility of blood Hb level prediction and anemia detection in cellulose acetate based Hb electrophoresis, which is a clinical standard test for Hb variant screening and diagnosis worldwide (Fig. 1C). To test this hypothesis, we integrated, for the first time, a new, computer vision and artificial neural network (ANN) based deep learning imaging and data analysis algorithm, to Hb electrophoresis. Here, we show the feasibility of this new, computer vision and deep learning enabled diagnostic approach via testing of 46 subjects, including individuals with anemia and homozygous (HbSS) or heterozygous (HbSC or S$\beta$-thalassemia) SCD.Results and Discussion: HbVA computer vision tracked the electrophoresis process real-time and the deep learning neural network algorithm determined Hb levels which demonstrated significant correlation with a Pearson Correlation Coefficient of 0.95 compared to the results of reference standard CBC (Fig.1D). Furthermore, HbVA demonstrated high reproducibly with a mean absolute error of 0.55 g/dL and a bias of -0.10 g/dL (95% limits of agreement: 1.5 g/dL) according to Bland-Altman analysis (Fig. 1E). Anemia determination was achieved with 100% sensitivity and 92.3% specificity with a receiver operating characteristic area under the curve (AUC) of 0.99 (Fig. 1F). Within the same test, subjects with SCD were identified with 100% sensitivity and specificity (Fig. 1G). Overall, the results suggested that computer vision and deep learning methods can be used to extract new information from Hb electrophoresis, enabling, for the first time, reproducible, accurate, and integrated blood Hb level prediction, anemia detection, and Hb variant identification in a single affordable test at the POC.","anemia,artificial neural network,computer vision,deep learning","Cited By (since 2020): 4","",""
"Miscellaneous","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M","A review on computer vision systems in monitoring of poultry: A welfare perspective","","2020","4","","184-208","","Elsevier","Artificial Intelligence in Agriculture","","2020","","2589-7217","https://www.sciencedirect.com/science/article/pii/S2589721720300258;http://dx.doi.org/10.1016/j.aiia.2020.09.002","10.1016/j.aiia.2020.09.002","","","","Monitoring of poultry welfare-related bio-processes and bio-responses is vital in welfare assessment and management of welfare-related factors. With the current development in information technologies, computer vision has become a promising tool in the real-time automation of poultry monitoring systems due to its non-intrusive and non-invasive properties, and its ability to present a wide range of information. Hence, it can be applied to monitor several bio-processes and bio-responses. This review summarizes the current advances in poultry monitoring techniques based on computer vision systems, i.e., conventional machine learning-based and deep learning-based systems. A detailed presentation on the machine learning-based system was presented, i.e., pre-processing, segmentation, feature extraction, feature selection, and dimension reduction, and modeling. Similarly, deep learning approaches in poultry monitoring were also presented. Lastly, the challenges and possible solutions presented by researches in poultry monitoring, such as variable illumination conditions, occlusion problems, and lack of augmented and labeled poultry datasets, were discussed.","Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","Cited By (since 2020): 47","",""
"Journal Article","Muñoz JP,Boger R,Dexter S,Low R","Mosquitoes and Public Health: Improving Data Validation of Citizen Science Contributions Using Computer Vision","\ldots Health and Wellness Management \ldots","2020","","","469-493","","Springer","","","2020","","","http://dx.doi.org/10.1007/978-3-030-17347-0_23","10.1007/978-3-030-17347-0_23","","","","Citizen scientists have the potential to play an important role in combating mosquito-borne diseases such as malaria, dengue fever, Zika, and West Nile virus. While public health officials do not have the labor or resources to collect adequate spatial and temporal coverage of where, when, and what types of mosquitoes are found, these officials may be hesitant to include citizen science data because they are not confident of the data. The GLOBE Observer Mosquito Habitat Mapper (GO MHM) app was launched in 2017, and data are being collected from around the world. As part of the app, photos of mosquito larvae are submitted. Computer vision software provides a means of assisting in the validation of the images for correctness. We have developed an image recognition prototype that includes image collection, training of image classifiers, specimen recognition, and expert validation and analytics. Photos of known mosquito larvae are used to train a Deep Learning classification model. Citizen scientists submit photos, and the system conducts an analysis that indicates the probability of correct mosquito identification. New and better classification models can be trained from new data received from citizen scientists. Experts can have access to the recognition results to assess data quality and devise ways to improve the quality of GO MHM data, while public health officials can use the data to assist in the mitigation of disease outbreaks. Recommendations are made for prototype improvements.","Citizen science,Computer vision,Mosquitoes,Public health,Vector-borne diseases","Cited By (since 2020): 9","",""
"Journal Article","Fernández-Carrión E,Barasona JÁ,Sánchez Á,Jurado C,Cadenas-Fernández E,Sánchez-Vizcaíno JM","Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar","Animals","2020","10","12","1-12","","mdpi.com","","","2020","","2076-2615","http://dx.doi.org/10.3390/ani10122241","10.3390/ani10122241","","","","Early detection of infectious diseases is the most cost-effective strategy in disease surveillance for reducing the risk of outbreaks. Latest deep learning and computer vision improvements are powerful tools that potentially open up a new field of research in epidemiology and disease control. These techniques were used here to develop an algorithm aimed to track and compute animal motion in real time. This algorithm was used in experimental trials in order to assess African swine fever (ASF) infection course in Eurasian wild boar. Overall, the outcomes showed negative correlation between motion reduction and fever caused by ASF infection. In addition, infected animals computed significant lower movements compared to uninfected animals. The obtained results suggest that a motion monitoring system based on artificial vision may be used in indoors to trigger suspicions of fever. It would help farmers and animal health services to detect early clinical signs compatible with infectious diseases. This technology shows a promising non-intrusive, economic and real time solution in the livestock industry with especial interest in ASF, considering the current concern in the world pig industry.","African swine fever,Artificial intelligence,Computer vision,Infectious disease","Cited By (since 2020): 7","",""
